text,label
"ну да, окружение тоже в отдельном файле и я его могу менять",0
"Ну если разработчик так задумал, значит его это устраивает?",0
"запад и восток, ну как то странно, они ж разные\nлучше б по дням разбили",1
"Если в телеграме обернуть код в три обратные кавычки ` с двух сторон, то форматирование сохранится.",1
"тут недавно зажравшиеся москвичи не понимали, как это можно не иметь диплом в 2к17",1
"Так это ж рынок. Взлеты и падения. В 70 никто в локхед не вкладывал, думали сольется. А в 73 закончилась вьетнамская война и потекли денежки в оборонку . Кто успел, тот и съел. И биток также. Кто успел, тот вывел)",0
"Так у тебя новый не знает о старых, для него ID пойдут с нуля",1
"да, Европа и/или США, возможно только Европа или Только США, возможно и то и то",1
"не используй такие сложные слова, он их не понимает.",0
"это красиво, но я все-таки настаиваю что 14 часовой рабочий день на каменоломне это не зона комфорта",1
"из названия ф-ии следует, что вернуться должен объект юзера. стр, ид или что-либо другое — уже неочевидное поведение",0
"так ведь xgboost так и учится сам, внутри. Он же буст",1
"По принципу ""больше пользуемся -> больше инфы -> побольше хейтеров""?",1
если он полезный и практичный то его используют на практике,1
"Я понимаю что антипаттерн. Вопрос в том, возможно ли это?",0
ну другие могут тоже участвоать а вот что с их налогами хз...,1
"хз у нас барыги могут заломить цены так, что в 200к не уложишься",1
"Ага. Я попробовал уменьшать размерность данных, чтобы в итоге sparse.todense можно было сделать и отдать уже модели на обучение, но хочется оставить все фичи и минибатчем подкармливать модель",1
У меня знакомая рост~160 весила 25 кило. Сейчас вроде до 40 отъелась,1
"Раздели диапазон на части, делай форк и в каждом процессе итерируй по части диапазона",0
"какая разница когда вставать, важно сколько часов ты бодрствуешь",1
"Суть в чем: 273.9 * 791.35 дают абсолютно точный результат 216750.765. Питон же ""немного умнее"", и его не беспокоит то, что никому нафиг не интересны нюансы типа ""флоат не может быть представлен точно"" именно в этом случае.",0
"я про то что гораздо лучше перейти на что-то более комплексное как Java, C++, C#",0
"мне нужно как то абстрагироваться от кодировок и всего остального , они только вносят путаницу , xor на уровне 1 и 0",0
найти где venv создал свой site-packeges и там файлик создать,0
"А вот этот парень разобрался с тем, что такое ROC-AUC",1
На рынке не бывает 100% побед. Всегда существуют риски таких случаев.\nСуммарно Баффет решает. И акции как видишь на высоте.,1
"Угу, послушаю. Ведь я собираюсь с вами выступать 😊",1
Я удалил твое сообщение с переходом на личности. Это и был намек),1
"Или knn или дерево, оно косвенно так и заполнит без личного интеллекта",1
"ктстаи, что-то давно ен слышно о них...или это я не замечал?",1
"Так PA не для нас))) PA - для бизнеса. Смысл в том, что ты можешь сделать на R модельку, обернуть её в PA и отдать бизнесу",1
"Ну, я к тому, что за десять лет не видел ни одного линупсоида живьем, который бы это юзал. Чаще встречал людей, которые очень любят венду, а админят уже по саше.",0
Если они с разной структурой -- важно... ОДинаковых -- конечно не важно,0
"ух, столько всего, что пока дочитываешь до конца решения, забываешь начало)",1
Спасибо) и так вроде всякое делаю. И тут вытащу что есть. Но самое противное. Что атаки прекратились сами. И теперь незнаешь когда ударят в след. Раз),0
"было бы страшно в такую жару – маляев. просто там проблемы со временем обучения. надо скачать и локально скормить ему ""войну и мир"" и еще с десяток экземпляров классической литературы, а потом сломя голову помчался, огибая вышку.",1
"True story. Нужна retention model на ML :) .  Чтоб значит в телеграм бот писал: ""привет!  На сегодня для вас запланировано N комплиментов второй половине. Вот список рекомендуемых: ...  Кроме того,  в ближайшие K дней требуется романтический ужин.  Рекомендуемые рестораны: ...  Для получения инструкций по продолжению вечера перейдите по ссылке: ... """,1
после соревнования может и скажет но надо запомнить посылку,1
"а вот тут вообще примеры разных паттернов на питоне, для собеседований пригодится\nhttps://github.com/faif/python-patterns",0
"Был вопрос не в грамотной реализации, а в том как. И принты - самый простой вар в небольших объёмах",0
"такой же, в collect те же ифы, но написаные за тебя",0
Лира и заодно и Рубель\nСегодня на бирже 69 пробило,1
"Меня вполне устраивает. То что должна - умеет, в меру глючная. Одна установка с последоватными обновлениями прожила 9 лет.",0
"Ну как у нас владимир попадет, притом у нас там 40",1
"Это смотря что хотят на выходу получить, это ведь не такой простой вопрос",1
"Илья, а все же, каким образом датасет был получен? Как собрали данные у этих врачей? Или они реально в какую-то программу забили вот такое днище?",1
"Грубо говоря. Входные фичи - есть. Аналоги перспетронов - есть, только функция активации нестандартная. Следующий уровень обучается на выходе предыдущего. На выходе софтмакс.",1
А они не в одно время разве у всех?,1
"я надеюсь ты такое никогда не будешь писать в продакшн коде. потому что любой, кто потом с этим столкнется слегка прифигеет.",0
"если твоя задача почувствовать себя умнее человека, то тычь его носом",0
"... а дальше???? ""дальше музычка из м/ф Пластилиновая ворона""",1
просто как всегда. import blabla from bla и тому подобное,0
зачем ты это написал? как я понял что в этом случае генерализует и улучшает подход if-else? пепе ты чего продолжаешь.,1
Хочу научить общаться две программы на одном хосте между собой,0
"это ясно, что нужно и бизнес менять, и оптимизацией вне алгоритмов заниматься",1
Ну я и так меньше 180 г ем.\nОколо 100 всего,1
"если в новый год не будешь делать картинки, то весь следующий проведешь за стаканием бустов",1
"я его полюбил\nза его быстроту\nза проект под VS\nза то, что память не жрёт",1
"Конструктор сайта это что-то из далекого прошлого, ты может и сделаешь, но никому это не нужно сейчас 😉",0
"С learning rate что-нибудь делал? Нейронки капризно сходятся, пробуй менять lr по эпохе или даже по итерациям, чтобы плавнее было. Ещё размер батча с маленького на большой попробуй покрутить вместо отжига по lr, вроде написали статьи, что это умнее",1
"Ну тело ответа в Raw есть, да, так же как и распарсенный status line, но вот целого status line не имеется",0
"тоесть, я его открыла в dd и потом везде где pd было заменяю на dd и получаю быструю работу?",1
"у тебя data - это генератор. попытка вычитать файл начинается на строке for l in data, но т.к. к этому времени у тебя файл уже закрыт, то естественно ты получаешь исключение.",0
Но разве деревья не загибаются от такого количества фич?,1
"Нет, но у тех, кто был около нас, в последние дни число сабмитов трекал конечно",1
в чем смысл участвовать в наших чемпионатах. пепе роберт.,1
"сделай презу наверное? у нас экран большой, жалко будет если не заюзаем",1
"а если всё помножить на налоги 80%, то будет совсем-совсем правда",1
"так ты же 62, в любом случае в этом чемпионате ты опять получаешь футболку за помощь в тестировании - нашел пару серьезных багов, и при этом не воспользовался, а честно сообщил лично и дождался, когда поправим",1
"Это будет супер экономно, ты даже можешь целый конвеер обработки построить. Конечно если ты его в память не засунешь сначала весь))",0
"вопрос не к m2m, а к алхимии, которая очень странно регулирует отношения",0
"А ты уверен, что задача не проходит из-за медленного питона, а не медленного алгоритма?",0
Когда она не под кофе к ней опасно подойти,1
У меня детектор космических лучей как раз дома! Какое совпадение!,1
"Если брать последний год, то меньше, чем хотелось бы 😢",1
"Вроде в размер. Шьют те же, кто шил млбк3",1
"Поломанный CSS ещё можно понять, но это уже слишком 😡",1
"Пробивать паблик единицами, а потом подставлять их в сабмит?)",1
"Гуры не приходят в команды, это к ним приходят",1
"ток чет не совпадает то, что они пишут, с тем, что я получаю  :D",0
"да есть у нас чат, в котором даже я редко появляюсь",1
"Ну реально, просто картинка ему нравится, а обрезанная нет",0
"Тем более от человека, который сам трудоголик, по всей видимости. :)",1
"Ну мне вообще не понравилось, если честно, но не столько из-за подачи, сколько из-за опасности, что подобная статья как раз таки неправильное представление про ML даст бизнесу и менеджерам. Очень уж грубое и упрощенное",1
"Спасибо. И знал же что надо json, но я думал он может только за раз делать дамп в файл.\nТолько еще кумарит что оно юникодом в файл пишет",0
"странное впечатление. я понимал, что он на уровне и не посрамил первый и все равно нет той глубины первого и какой-то недосказанности",1
"я почистил жестко. регрессиями. CV ухудшился, но зато потом улучшился гораздо сильнее, чем был. просто ретюн нужен сильный после каждой итерации",1
"Один обрабатывает события, а второй работает планировщиком. Друг-другу не мешают.",0
ну залез ты в под и поправил код. дальше надо рестартовать приложение. а это - рестарт пода,0
"в большей степени любопытство. я участвую не ради выигрыша денег, а ради того, чтобы учиться-учиться и еще раз учиться:)",1
"Считаю что дизайнеры более общительные и продают себя лучше. А прогеры вечные бойцы невидимого фронта. Докажи начальнику что тебе нужно. Если он не технарь. Да и технарь скажет, я мучайся теперь и ты сиди. И вообще зачем тебе кресло, на табуретки посидишь)",0
"Нет, ИУ, но понимаю положение дел, так как видел целевиков Роскосмоса с 160 баллами ЕГЭ за 3 предмета",1
есть анек такой - дорогая сегодня прекрасный день!... - ну и что?... а ты сказала что в один прекрасный день от меня уйдешь,1
наймут специалиста по интернету который скажет на какой вопрос какая выдача должна быть...,1
Ну и переключение между самими столами требовало прогу стороннюю.,0
а у вас на каком значении 85 персентиль показывает на тесте?,1
"А с чего бы мне приводить аргументы? Ты расскажи, почему ты считаешь, что ансамбль - это сеть",1
"поскольку это встроенная функция, у её аргумента может и не быть умолчания",0
"Валера, с треском упавший с 1 места, придумал так говорить",1
"что я считаю большой ошибкой со стороны тех, кто это решает",0
"Тщетно пытаюсь не быть дебилом.\n\nРасписываю задачи на бумаге на месяц, далее пытаюсь выполнить.\nКаждое утро перечитываю.\nВ конце месяца переписываю на новый лист бумаги идеи, обрабатываю их, и пишу в список дел на следующий месяц. Что не успел в предыдущем месяце либо дописываю в новый, либо понимаю, что это для меня не столь важно и забрасываю.",0
"не прикидывал, если честно. Чем больше я смотрю в эти таблички, тем больше грущу.",1
app.main:app - это если у тебя app/main.py и в нем переменна app.,0
"Почему? Число 20 для рубика искали 30 лет, было б прикрльно если б был алгоритм который делал за 30 минут",1
"мне кажется, что без подсчета p-value все эти разговоры просто демагогия",1
"Лик не лик, но скачок с 0.53 до 0.6 достигается использованием можно сказать одной фичи",1
"Потому то оно и называется warning, а не error",0
"у кого-то осталась привычка плодить код, чтобы больше платили, походу...",1
"не в Python, любители табов идут дружно в Java",0
"вполне нормальная тема, когда бабла хочешь рубануть с дебилов",1
Нуу там книжка в нескольких форматах. Не пугай людей,0
"мне бы просто работника, чтобы как-то по внутренним каналам узнать, позвонить не могу, и не могу дописаться)",1
"там, где захардкоджены номера картинок - это ""темплейты"" картинок с bad request, которые я кидал утром",1
Но репозиторий - это тоже папочка. Просто с версионированием.,1
а вот на убунту бы такой фигни не было,1
"Самый простой способ - получить список строк из 2 символов ['01', '02', ...]\nПотом каждый перевести в int с системой счисления 16 int(str, 16)\nПотом от каждого значения взять hex()\nprofit",0
"ну из пермисий я не могу добавлять админов, а все остальное могу. Но ты прав, я действительно позиционирую себя как модератор и слежу исключительно за порядком)",0
"Оказывается есть понятие ""индекс биг-мака"". Показывает сколько штук можно купить за 50$ в каждой стране. Думаю, из-за этого именно его и сравнивают.",1
Скажем для бумажек сгодится и нужна. В других случаях кому какое дело. Но на гниленьком западе может влиять на рейт,0
"в квинс, да тут везде так, кроме манхеттена, там да, подороже на 30-50%",1
ну это не модель. вешай ограничение на количество семплов на лист,1
"или когда пустая коробка придет, они скажут ""всё фейк"", как с дебетовыми картами :D",1
Конкретно там не было речи про проблему с заданием. К тому же ег опроблему еще вчера обсудили.,0
"мне нужна подсветка. а то я пока путаюсь, где скобку забыл.",0
"шучу ) можно через практику решить... но это долгий и больной путь, который кто-то должен оплатить )",1
"Очевидно, что дела у Маска так плохи, что он только и может, что таким образом париться (с)",1
от размера очень зависит. маленькие валидации - большие разбросы,1
"Вот тебе, еще туториал. Проходил по нему, тоже рабочий. Он почти такой же, но может что найдешь что не так. https://www.digitalocean.com/community/tutorials/how-to-set-up-django-with-postgres-nginx-and-gunicorn-on-debian-8",0
Эх... У меня питон... А сам писал или там есть пакет?,1
"а это, разве, не автоматом считается? типа в основной ветке if - likely, в else - unlikely ?",1
"дизайн там конечно ужас просто, а автокомплита нормального и в помине нет.",0
Это выглядит как менее оптимальное решение в сравнении с А*,0
"Почему нельзя? Вот работала она в 2g, что-то докупили, настроили и она стала 3g, ей обязательно надо лакк менять ?",1
Тут pip не причем надо установит этот самый пакет,0
"Ну, в этом и отличие от обычного supervised learning. Мы получаем меру ошибки, но не получаем истинных меток",1
"Что ты подразумеваешь? Сокеты - это просто интерфейс для сетевых соединений, причем тут шифрование?",0
"Какая собственно разница куда будет двигаться рынок, если главное знать момент тренда?",0
"первый это тип того, что yield'ится, второй тип это то, что получает генератор из yield'а",0
долго объяснять. почитай про то какие виды сетей бывают в докере.,0
"зачем за последний, давай всего сравним, чего уж мелочиться",1
"22 декабря 2008 года между SpaceX и НАСА подписан контракт в рамках программы Commercial Resupply Services(CRS) по снабжению Международной космической станции на сумму 1,6 млрд долларов[6]. К первоначальным 12 запланированным миссиям позже были добавлены ещё 3[7].",1
"У тебя сегодня интересные вопросы. Делись, что делаешь там. Можно в лс",0
"неа\nORA-01036: illegal variable name/number\nвсе тоже\nЭто я туже гуглил, и так и так можно, но :1 просто смотриться больше",0
"Ну формально это почти одни и те же, большинство можно представить сверткой)",1
"Видимо, ты плохо представляешь себе, сколько зарабатывают владельцы заводов и прокуроры :(",1
мои 3 сообщения vs твое на одно слово/3 буквы,0
"про него как-то один из кор девелоперов asyncio вещал, говорил, что идеи классные, будут в asyncio перетаскивать часть: https://youtu.be/3rSAtD2gKQE",0
если получится вырваться в понедельник - то очень бы даже послушал,1
Это вряд ли) просто сид какой нибудь 7 значный,1
кому-то стоит пройти в @ru_python_beginners и запастись книжками по Python и алгоритмам на ближайшую пару лет.,0
"ну тут же от скорости чтения зависит, мне недели хватит для того что бы вновь прочитать первый том, и это будет не просто ""пробежался глазами""",0
"ты типа берешь срез датафрейма, скажем, вторую тысячу строк из пяти тысяч, получаешь матрицу 1000*n и не знаешь, куда его вставлять обратно?",1
"Пусть у меня будет 10 или >1000. Суть то не поменяется, я пока не вижу случая масштабированности. Подскажи",0
да хоть раз в пять минут. просто я думал есть возможно более элегантный путь нежели парсить сначала этот .aspx в поисках элемента где зарыта эта сгенерированная ссылка,0
Нет. Функция может быть любой а не только c1,1
"Нет, хочу костылями. Спасибо, за советы, подниму веб-сервер на компе или через сокеты и все Kappa",0
"Заинтриговал меня я об этом вообще не думал, надо порисовать кофроф, но вам уже не покажу, помню критику",1
"Если скор модели близок к скору автора на текущем соревновании, отправляет ему код)",1
"обычно в чатике под блендом подразумевают любое усреднение моделей, а под стекингом - именно усреднение моделей первого (n-того в случае Сергея) уровня другой моделью",1
в смысле таблетки пьет? там еще кальцций и d3 есть?,1
"явно лучше, чем ""Темная башня"", но все же не шедевр)",1
"Меняешь каналы местами перед тем как отдать в трейн, иногда заходит",1
"ну я как бы всего не знаю конечно, но иммунитет всегда снижен от стресса, усталости, несчастий и прочего",1
Ну при условной инициализации класса тестсюиты создать подключение не подходит?,0
"Ну хз. Проще из консоли запустить, и нормально читать логи, чем в этом мелком куске окна",0
"Сейчас среди выбранных кремлем кандидатов - никто. Среди не зарегистированных - ААН, поскольку начнёт в дебатах на ТВ правду матку рубить) \nПосмотрите на стремительное падение рейтинга ССС на мэрских выборах.",1
я не уверен что словари самый удобный формат хранения данных для такой структуры\nкак вариант могу предположить перевести это все в плоский табличный вид тогда можно будет очень быстро и просто формировать запросом SQL \nнопремер,0
"проблема такого подхода в том, что балансировкой нагрузки управляет оркестратор кластера.",0
"я по-моему задолго до немагии говорил, мб и тут, что тиньков не очень)",1
"Может щупают где приват, а где паблик в тесте?",1
"Я думаю, что просто пока не так раскрутили его",1
"сложный вопрос. у меня две ветки, одна с большой разницей между CV и LB, а другая просто хорошая по CV. два сабмита",1
"Молодой человек, представьте себе диаграмму Венна из трех элементов. Первый - то, что вы хотите сделать. Второй - то, что вам позволяют сделать ресурсы. Третий - то, что вы сможете сделать с текущим уровнем познаний.\nВаша проблема в том, что пересечения этих трех областей на вашей диаграмме нет. Одну из них придется увеличивать.",0
"Master и slave - это коннектиться ко второму хосту, если не отвечает первый? Или вопрос про mongos?",0
"Так я на диете. Калории ограничиваю, но в рамках 1600-1800 в день.",1
а у меня наоборот как-то разница давлений в жпо важности фич,1
"вопрос не в моде, а в том что в позарпошлом году их делали из камней, а потом научились выделывать кожу",0
Можно выдавать api ключ и лимитить на одного пользователя,0
"можно какой-нибудь экзотический из какашек южноамериканского пингвина, тогда одной пачки хватит",1
"и чем он меньше в абсолюте, тем больше шанс погрешности",1
"У меня грааля нет - 5К фичей, два десятка моделей LightGBM на фолдах, их блендинг по ранкам, и adversial validation по приколу",1
"тяжко работают. опенспейсы бывают разные, если по 5-7 человек то еще норм. а галеры аля EPAM, где десятки человек в одном “ангаре” сидят - это звиздец.",0
"вам тоже спасибо, но как-то больно сложно-то для примитив)",0
"это всё, потому что у меня пирамида на аватарке?",1
"может и в платформе:  пакеты делают под разные архитектуры, и под арм32 не сделали",0
"чем нибудь таким, найс, нью и смарт, и пост напиши, не забудь",1
"Это не всегда так. Например, честный тест while True: нельзя написать )",0
"что значит имхо? есть гбм - базовый склеарн бустинг. есть хгб, лгбм и катбуст - бустинги, использующие всякие приколюхи. какое имхо тут может быть?",1
это было в 2011 сократили тогда почти весь суппорт и всех ноков,1
"чтобы передать в конструктор базового класса *args, **kwargs, твой __init__ должен бы их принимать. зачем тебе это нужно?\nу тебя же фиксированный список параметров",0
"А у меня кодогенерация на основе схемы датакласса происходит, та же идея",0
"я до последнего верю, что сообщество чата может помочь человеку решить проблему как МЛ характера, так и коммуникации с другими люддьми",1
"изначально был анонс на 3 буткампа в этом году, возможно последний...",1
"Я это сразу понимал, ибо это глупо и смысла не имеет",1
"поздно, я уже готовлю сабмит с граалем, да-да 😂",1
"надеюсь, функция взятия максимума - это просто max, а не maxpooling?",1
пробелы вокруг дефиса не ставятся. Это тебе не тире,0
"Я лично на работе пишу код по PEP 8 и с максимально адекватной архитектурой, на которую способен, а на кагле пишу в ноутбуке с переменными из одной буквы",1
"ну так в том и суть, что шеёпы разные",1
"лгбм точно не ложится, но при подготовке датасета отжирает немало",1
"вообще не коррелирует. Можно лишь предположить, что если 8Гб памяти у видеокарты, то это нифиговая видеокарта",1
"и все забудется. таня молча смотрела на него, и тогда он мягко опустил откинутый капот, пробормотал: «та-ак… посмотрим!» – и тогда я, наконец, рассвирепею и скажу ему прямо в лицо: «ульмотроны ваши я бросил». сказала таня и?",1
во-первых то что ты называешь командой - это функция\nво-вторых.... а черт что за хрень?,0
Я с ней живу два дня. Но все к этому шло,1
"К этому и сводится, что надо выбрать глубину аннотирвоания и вести через весь проект",0
"А ты на ушко шепни, мы никому не расскажем",1
"да пробовал, там абракадабра, но js и php кушают и не давятся, а тут я весь гугл изрыл ))))",0
"я пока что не писал, ибо не мог понять сработает ли с ручным вызовом без суперов или нет",0
"мы, вроде, в союзе с ними, так что поехать можно без визы в любой момент)",1
но scaler не от 0 до 1 фичи делает,1
Что этот странный вопрос делает в нашем топике кофеманов?)),1
"То в Арктику, то сюда 😒 вы работаете вообще?)",1
"да не, там написано, что он подходит. я в целом за метод, а гуглить лень",1
а еще после такого банального кода сделать парсер нахуй для выявления хуевых паролей из открытых БД :D,0
"Как-то по духу названия - это больше подходит как раз тем, кто всем этим пользуется",1
"Ну я к тому, что почему не while True",0
"ну если та, то возможно. Обычно зашел - нешел- скачал - закрыл . А если сидеть там выбирать что нового или что в топе - тогды да.",1
"Ок, я немного не о том. Ты изменения в PR как делаешь, новыми коммитами или изменением истории?",0
Может из-за ркн? Вроде бы телеграм и сейчас ипшники меняет,1
"Если лицо детское , то только тест поможет )",1
"На паблике может и 0.6 быть, а вот на привате да",1
"Лучше сам. Попробуй написать что-нибудь типа блога на торнаде. Сразу скажу что ты будешь меня ненавидеть, но как сделаешь поймёшь как устроен язык",0
выглядит как ошибка. Разве у просто двух рандомов распределение лучшего скора не должно иметь моду правее 0.5?,1
"А если курьер будет не нейронкой, а скриптовым? Считается?",1
я бы поменял на <=16 - тебе тут нечего делать.  пытался что-то сделать с даском и достать потом из джейсона фичи- кернелы летят нахер,1
"если используется гистограммирование, то деревьям в рамках бустинга или леса уже не пофиг",1
"Так там же служебный чатик, а у тебя с валидацией билось ?",1
"Насколько я понимаю, надо придумать себе реалистичный идеал и мечтать на него",1
"гавкает бестолковая псина или мелкая или невоспитанная, нормальная собака не будет просто так гавкать",1
Ну и за это их можно хвалить. Но пусть у себя сидят.,0
"да, потом под виндовой убунтой все распаковалось в unzip",1
в общем и целом\nможно научиться считать интегралы и производные),1
"Да, я вот что-то подобное и думал увидеть. Скрытый дефолтный объект, который с большой веростностью никто в функцию не передаст. Но в стандартной библиотеке все проще, конечно :)",0
"ну, скорее всего тебя не спалят, но это типа незаконно.",1
"from openpyxl import Workbook, load_workbook\nwb = load_workbook(filename)\nws = wb.active\nws.append(что-то)\nwb.save(filename)",0
"Программа будет брать кредит на основе данных человека. Она не скажет ""я зарабатываю миллиард"", если ты получаешь 10к",1
"тоесть именно в процессе работы, в питоне, типы получаются только для красоты, они не ограничивают передачу в аргумент никак",0
вот надо бота написать. пусть парсит чатик и складывает в дайджест граалей,1
