,text,label,label_name,len,clean_text
25,"да я почитал официальную документацию ну и статьи на хабре, но все равно чет не понял",0,Python chat,16,почитать официальный документация статья хабра равно чета понять
26,Про какой репозиторий вы говорите? Такой вообще существует? Везде советуют PPA.,0,Python chat,11,какой репозиторий говорить такой вообще существовать везде советовать ppa
27,"я бы предположил, что в логике твоей есть изьян, хоть и на первый взгляд, звучит убедительно)",1,DS chat,16,предположить логика твоей изьян первыя взгляд звучать убедительно
28,ну я хз... для какого-нибудь паттерна аля Context \\ Registry может иметь смысл.,0,Python chat,13,хз какой паттерн аля context registry иметь смысл
29,"Например? Если это и правда что-то нужное и важное, это давно реализовали",1,DS chat,12,например это правда нужный важный это давно реализовать
30,"оу, спасибо за ссылку, не знал про группу для бегиннеров )",0,Python chat,11,оу спасибо ссылка знать группа бегиннер
31,"(postgres.E003) JSONField default should be a callable instead of an instance so that it's not shared between all field instances.\n        HINT: Use a callable instead, e.g., use dict instead of {}.",0,Python chat,38,postgres e003 jsonfield default should be a callable instead of an instance so that it s not shared between all field instances hint use a callable instead e g use dict instead of
32,"они что-то делали две недели и горды своим местом (допустим), а тут приходят и нивелируют их результаты",1,DS chat,17,делать два неделя гордый свой место допустить приходить нивелировать результат
33,"так было раньше, получается очень много итераций и цифклов for, что знатно затормаживает обработку",0,Python chat,14,ранний получаться очень итерация цифклов for знатно затормаживать обработка
34,Я (как и многие по моему мнению) хотят иметь удобный инструмент для решения всех 3х выше обозначенных кейсов.,0,Python chat,18,многие мой мнение хотеть иметь удобный инструмент решение 3х выше обозначить кеисова
35,"Не бывает никакого. Бывает None, 0 или ещё что",0,Python chat,9,бывать никакой бывать none 0
36,"Пока что да\nНемного родители, немного ученики, немного вот с таких мероприятий типа турнира Колмогорова",1,DS chat,14,пока данемного родитель немного ученик немного такой мероприятие тип турнир колмогоров
37,"Меня вот прям проперло. Ничего не понял, но проперло",1,DS chat,9,прям пропереть понять пропереть
38,если как пример взять классификацию изображений - то не делают,1,DS chat,10,пример взять классификация изображение делать
39,"ну в архитектуре есть, а в карте могут отрубить",1,DS chat,9,архитектура карта мочь отрубить
40,Ну по деплою и всему подобному прямая дорога к devops,0,Python chat,10,деплоить весь подобный прямой дорога devops
41,"Это из той статьи что ты скинул, K_means после уменьшения размерности на разных датасетах.",1,DS chat,14,это той статья скинуть k means уменьшение размерность разный датасет
42,"Но сами запуски считай боевые. Стоило дорого, поэтому математика, расчёты. А потом молишся",0,Python chat,13,сам запуск считая боевой стоить дорого поэтому математик расчёт молишся
43,"да, и он тебе бы сразу ответил на попцтку импорта в середине",0,Python chat,12,ты сразу ответить попцткать импорт середина
44,"Вижу, что только по группам разделять [^ ](н), в \\1 будет твоя эн Или аш.",0,Python chat,15,видеть группа разделять н 1 твой эн аш
45,"Есть смысл. Как начнешь деплоить свок приложение куда-нить на отдельную виртуалку, виртуальная среда пригодится",0,Python chat,14,смысл начать деплоить свок приложение нить отдельный виртуалка виртуальный среда пригодиться
46,"Ну типа тем, что 8-ку забросили к хе*ам собачим, хотя обещали с 12-ой версии примерно",1,DS chat,15,тип 8 ку забросить хе ама собачить хотя обещать 12 ои версия примерно
47,"анек: два ученых, пишут диссер, лежит пачка рукописных листов, ветром открывает окно, все листы в воздух, ну собрали как смогли, один ученый - е мое, два листа самых главных расчетов потерялись! второй отвечает - а, ничего, напишем - путем несложных вычислений....",1,DS chat,41,анька учёный писать диссера лежать пачка рукописный лист ветер открывать окно лист воздух собрать смочь ученый быть мой лист самый главный расчёт потеряться второй отвечать написать путём несложный вычисление
48,"У компании цель заплатить поменьше, получить ресурс, а у исполнителя цель получить побольше)",0,Python chat,13,компания цель заплатить маленький получить ресурс исполнитель цель получить большой
49,"да, я помню ) я оч. хотел научиться не через повторы за сильными, а через понимание... не тупо через А/B тест...",1,DS chat,21,помнить оч хотеть научиться повтор сильный понимание тупо b тест
50,"чтобы передать в конструктор базового класса *args, **kwargs, твой __init__ должен бы их принимать. зачем тебе это нужно?\nу тебя же фиксированный список параметров",0,Python chat,23,передать конструктор базовый класс args kwargs твой init должный принимать ты это нужно фиксированный список параметр
51,Чем отличается сервер от обычного пк ну скажи мне?,0,Python chat,9,отличаться сервер обычный пк сказать
52,"нет, там идея была, что лосс у них очень близок к друг другу, а не к нулю",1,DS chat,17,идея лосса очень близкий друг друг нуль
53,"Понятно, что регулярка, но непонятно, как именно она должна работать: с чего начинать разбор строки, как определять переменную и т.д.",0,Python chat,20,понятно регулярка непонятно именно должный работать начинать разбор строка определять переменный так далее
54,"толку, если в прод все равно этот файл не завезешь",0,Python chat,10,толк прод равно фаил завезти
55,"Ну формально это почти одни и те же, большинство можно представить сверткой)",1,DS chat,12,формально это один тот большинство представить сверткой
56,если текст на этой фотке зачитать построчно то получится неплохой реп,0,Python chat,11,текст этой фотка зачитать построчно получиться неплохоя репа
57,"если планируешь делать сайт с бэкендом , то лучше начинать с него",0,Python chat,12,планировать делать саит бэкендом начинать
58,ну вот я приводил это как раз как пример - в АСМ у меня код вообще нечитаемый,1,DS chat,17,приводить это пример асм код вообще нечитаемый
59,"на людей массой > 300кг они, наверное, сильно действуют))",1,DS chat,9,людея массоя 300кг наверное сильно деиствуют
60,"локально у разработчиков vagrant в котором просто докер, на прле в CI стоит drone  с кучкой серверов и опять просто докер",0,Python chat,22,локально разработчик vagrant который просто докер прло ci стоить drone кучкой сервер просто докер
61,"Почтальона ещё не погуглил, а динамика профиля звучит солидно",1,DS chat,9,почтальон погуглила динамика профиль звучать солидно
62,"Не я говорил, но как минимум, одна проблема у питона под виндой есть - то, что кодировка по умолчанию у винды win1251 (cp1251) а не utf8, есть библиотеки, которые работают с файлами питона, но при открытии используют кодировку по умолчанию (т.е. 1251), что приводит к ошибке. Решается хаком - переопределением системной функции, которая как раз возвращает кодировку по умолчанию",0,Python chat,59,говорить минимум один проблема питон виндоить кодировка умолчание винд win1251 cp1251 utf8 библиотека который работать фаил питон открытие использовать кодировка умолчание так быть 1251 приводить ошибка решаться хак переопределение системноить функция который возвращать кодировка умолчание
63,Да не об этом речь конечно же :)\nПросто решил чот подколоть :),1,DS chat,12,речь просто решить чот подколоть
64,"О, решила, что мера Амстердама - это что-то типа меры Эвклидова расстояния.",1,DS chat,12,решить мера амстердам это тип мера эвклидов расстояние
65,ну можно просто принести оффер на большую сумму и тебе могут столько же дать,0,Python chat,14,просто принести оффера больший сумма ты мочь столько дать
66,"это про то, как векторная машина поддержки строит гиперсамолет",1,DS chat,9,это векторный машина поддержка строить гиперсамолёт
67,"а ну тогда можно и на калькуляторе считать, до 25 июля управимсо",1,DS chat,12,калькулятор считать 25 июль управимсый
68,"Короч, тебе советуют длинные простыни текста размещать на специализированных ресурсах вроде dpaste.org",0,Python chat,12,короч ты советовать длинный простыня текст размещать специализированный ресурс вроде dpaste org
69,"На входе 300 000 фич, на выходе 2000, итераций 4",1,DS chat,10,вход 300 000 фича выход 2000 итерация 4
70,"насколько я помню наследоваться от QThread не рекомендуется, следует использовать moveToThread",0,Python chat,11,насколько помнить наследоваться qthread рекомендоваться следовать использовать movetothread
71,скажи чем он хорош? я пока профита не вижу,0,Python chat,9,сказать хороший пока профит видеть
72,"Можешь посмотреть на cassandra/scylladb, она очень быстрая на запись и почти линейно масштабируется при добавлении нод",0,Python chat,16,мочь посмотреть cassandra scylladb очень быстрый запись линеин масштабироваться добавление нод
73,"Что он может хотеть? По идее, gparter увидит место и ты его выбрать сможешь.",0,Python chat,14,хотеть идея gparter увидеть место выбрать смочь
74,"видимо созерцание, познание через размышление, наслаждение мнгновением, когда нечаянно остановился и поглядел в небо",1,DS chat,14,видимо созерцание познание размышление наслаждение мнгновение нечаянно остановиться поглядеть небо
75,линию по числу строк или линию по объёму входных данных?,0,Python chat,10,линия число строка линия обий входной данные
76,"Так к карточке привязать морду, это везде же можно",1,DS chat,9,карточка привязать морда это везде
77,"Это не грааль, а путь в бездну. Если алгоритм ошибся, подобная правка смертельна. Можешь у себя на машине попробовать помоделировать, сколько правильных сдвигов нужно, чтобы перекрыть один неправильный",1,DS chat,28,это грааль путь бездна алгоритм ошибиться подобный правка смертельный мочь машина попробовать помоделировать сколько правильный сдвиг нужно перекрыть неправильный
78,"ну я от балды процент назвал, но суть ясна)",1,DS chat,9,балда процент назвать быть ясный
79,"у нас в классе поле, с которым работают все методы. не представляю как это реализовать с несколькими классами",0,Python chat,18,класс поле который работать метод представлять это реализовать несколько класс
80,Только нужно сверху \nfrom telebot import *\nbot = TeleBot('тут твой токен'),0,Python chat,11,нужно сверху from telebot import bot telebot твой токен
81,Можно заранее 🤔 когда остался 1-2 товара на полке,1,DS chat,9,заранее остаться 1 2 товар полка
82,"без авторизации у них, авторизация уже на стороне facebook, внутри того самого окна",0,Python chat,13,авторизация авторизация сторона facebook внутри сам окно
83,"Компиля́ция — сборка программы, включающая трансляцию всех модулей программы, написанных на одном или нескольких исходных языках программирования высокого уровня и/или языке ассемблера, в эквивалентные программные модули на низкоуровневом языке, близком машинному коду (абсолютный код, объектный модуль, иногда на язык ассемблера) ...",0,Python chat,41,компилить ция сборка программа включать трансляция модулей программа написать один несколько исходный язык программирование высокий уровень язык ассемблер эквивалентный программный модуль низкоуровневый язык близкий машинный код абсолютный код обьектный модуль язык ассемблер
84,Я неделю когда это проходили пытался понять. Все никак не мог в голове уложить как работать без циклов,0,Python chat,18,неделя это проходить пытаться понять никак мочь голова уложить работать цикл
85,"в том же росбанке задача не в том, чтобы как можно лучше настроить xgboost, а в том, чтобы правильные фичи наагрегировать, кмк в этом человек ещё долго будет лучше",1,DS chat,29,росбанк задача настроить xgboost правильный фича наагрегировать кмк человек долго
86,Я не совсем то имел ввиду. Структура у них схожая? Может есть смысл преобразования делать на мелких блоках и писать сразу,0,Python chat,21,иметь ввиду структура схожий смысл преобразование делать мелкий блок писать сразу
87,Ну это еще не плохие условия...иногда описания просто не бывает :),1,DS chat,11,это плохой условие описание просто бывать
88,"Ну да, а лучше прочитать и сделать какую-то отдельную мапу, чтобы в будущем не нужно было искать по каждому",0,Python chat,19,прочитать сделать какой отдельный мап будущее нужно искать каждый
89,"у меня ничего не съехало набок, не придумывай лишнего!",1,DS chat,9,сьехать набок придумывай лишний
90,Хз. Нет идей. Вроде в этой части кода все норм,0,Python chat,10,хз идея вроде этой часть код норма
91,"так по cv ж прогоняется, нет? Разве это не делает оценки более-менее достоверными",1,DS chat,13,cv прогоняться это делать оценка менее достоверный
92,"я наверное избалован, но мне кажется задача сформулирована неполностью",0,Python chat,9,наверное избаловать казаться задача сформулировать неполностью
93,"В плане?\nЯ просто что бы слишком сильно не радоваться каким либо своим достижениям и не думать что дохуя умная захожу к вам нет нет, читаю пару сотен сообщений, ахуеваю от того что нихера не понимаю и что это больше похоже на заклинания из букв и цифр , в то время когда умею пользоваться только гуглом , и спокойно ложусь спать со слегка подавленной самооценкой \nОбожаю за это ваш чат♥️",0,Python chat,69,план просто слишком сильно радоваться какой либо свой достижение думать дохуй умный заходить читать пара сотня сообщение ахуевать нихер понимать это похоже заклинание буква цифра время уметь пользоваться гугл спокоин ложиться спать слегка подавленноить самооценкой обожать это ваш чат
94,Я то хочу. Но у меня сильно ограничено время и клиент как обычно хочет прямо сейчас и прямо здесь,0,Python chat,19,хотеть сильно ограничить время клиент обычно хотеть прямо сеичас прямо
95,"да я в курсе, но если человек не хочет говорить на нашем языке, я пытаюсь говорить на его",0,Python chat,18,курс человек хотеть говорить наш язык пытаться говорить
96,"Нижний 25%, медиана, 75%, икс альфа, игрек процент пересечений, на многих выборках форма и значения именно такие, 50% понятно почему, а вот откуда 20-40 хз, интересно бы аналитически получить, но Михаил почему-то не знает ЕМУ",1,DS chat,35,нижнии 25 медиана 75 икс альфа игрек процент пересечение многий выборка форма значение именно такой 50 понятно почему откуда 20 40 хз интересно аналитически получить михаил почему знать
97,Попробовать заиспользовать слой CuDNNLSTM. Если работает - на гпу,1,DS chat,9,попробовать заиспользовать слой cudnnlstm работать гпу
98,например потому что может быть несколько параллельных запросов пишущих в один файл,0,Python chat,12,например несколько параллельный запрос пишущий фаил
99,"один промолчит, десять начнут раздувать\nчерез час-другой смотришь, а там 300+\nостается тупо скролить\nи нормальные и интересные вопросы просто тонут в этом говне",0,Python chat,21,промолчать десять начать раздуватьчерез час другой смотреть 300 оставаться тупо скролитие нормальный интересный вопрос просто тонуть говно
100,"Почему рмспроп работает нормально для рекуррентных сеток, а все остальное не нормально?",1,DS chat,12,почему рмспроп работать нормально рекуррентный сетка остальной нормально
101,"смысли, доваи сначала пройдем, апрув кинут, а потом смерджимся",1,DS chat,9,смыслить доваи сначала проидти апруть кинуть смерджиться
102,"это точно... вот уже бизнес процессы анализировать будем, их исполнение, через пакет",1,DS chat,12,это точно бизнес процесс анализировать быть исполнение пакет
103,"при условии, что люди решат, что эти токены будут чего-то стоить",1,DS chat,11,условие человек решить токен быть стоить
104,"С - структурное программирование. То, чем ты занимался, пока не прочитал про классы",0,Python chat,13,структурный программирование заниматься пока прочитать класс
105,а сейчас вроде кроме мерса ничего из весовой категории сравнимой с МЛ буткампом роде нет?,1,DS chat,15,сеичас вроде кроме мёрса весовой категория сравнимои мл буткамп род
106,"ну у центоси есть свой мануал, у дебиана - свой и т.п.",0,Python chat,12,центося свой мануал дебиана свой так п
107,"да, я понял. и просто можно их произвольно расширить",1,DS chat,9,понять просто произвольно расширить
108,"Да, я ей пользовался. Все равно итоговый экзешник кричит, что ему надо питоновую дллку.",0,Python chat,14,еи пользоваться равно итоговыя экзешникнуть кричать питоновый дллка
109,Тяжёлые сетки вообще в память не помещаются. Либо батчсайз 1.,1,DS chat,10,тяжёлый сетка вообще память помещаться либо батчсаиза 1
110,"это как раз то, что многие делают по ошибке",0,Python chat,9,это многие делать ошибка
111,"То есть этот другой сервис, меняя параметры, меняет и URL товара?",0,Python chat,11,другой сервис менять параметр менять url товар
112,так не работает :) вам же в очереди стоять не придется),1,DS chat,11,работать очередь стоять прийтись
113,"Пробовал, и YourModel.ContactDateTime и YourModel.с.ContactDateTime - оба варианта ошибку выдают:(",0,Python chat,10,пробовать yourmodel contactdatetime yourmodel contactdatetime оба вариант ошибка выдавать
114,"I see, thanks, still it would be great to see some baseline....",1,DS chat,12,i see thanks still it would be great to see some baseline
115,"тут есть проблема в том, что на мой взгляд все делают это по интуиции и сложно писать о чем-то бездоказательном. Почему ты так делал? - мне показалось так будет удобно. Другим будет так же удобно? - хз",1,DS chat,37,проблема мой взгляд делать это интуиция сложно писать бездоказательный почему делать показаться удобно другой удобно хз
116,да просто нагоняли негатив и самые громкие не всегда большинство,1,DS chat,10,просто нагонять негатив самый громкий большинство
117,"Возможность сделать фукнцию, релиализация которой будет выбиратся взависимости от типов входных параметров",0,Python chat,12,возможность сделать фукнция релиализация которой выбириться взависимость тип входной параметр
118,"одно дело, когда человек будто на другом языке болтает",1,DS chat,9,один дело человек друг язык болтать
119,"Да, сразу видно, что проблема была в боте, а не, скажем, во мне, See All или Алексее.",1,DS chat,17,сразу видно проблема бот скажем see all алексей
120,"не юзал баш для вин, но наверное прикольное - остальное пытаюся с мака передрать виртуальные рабочие столы - наконец-то карл! В маке это уже давным давно))",0,Python chat,26,юзал баш вино наверное прикольный остальной пытаюся мак передрать виртуальный рабочий стол карл мак это давный давно
121,"или когда пустая коробка придет, они скажут ""всё фейк"", как с дебетовыми картами :D",1,DS chat,14,пустой коробка прийти сказать феик дебетовый карта d
122,ну когда ты пишешь if ты же точно знаешь что ты проверяешь?,0,Python chat,12,писать if точно знать проверять
123,"Можешь делать что хочешь с этим объектом, только save() не делай",0,Python chat,11,мочь делать хотеть это обьектом save делай
124,"Я так понимаю, из много, но позиции один хрен закрывают долго",0,Python chat,11,понимать позиция хрен закрывать долго
125,"Вот есть у меня функция внутри функции, и я хочу чтобы воторая функция нечего не воаращала, а первая возвращала  результат второй",0,Python chat,22,функция внутри функция хотеть воторая функция нечего воаращать первый возвращать результат второй
126,"Ищещь данные по всем банкоматов, по своим координат определяешь координаты радиуса, ищещь кто в них и всё",1,DS chat,17,ищещь дать весь банкомат свой координата определять координата радиус ищещь
127,"Да, я вот в интернете за 800$ в мес на статьях год сидел, тему прикрыли, теперь меньше этих денег не могу работать психологиски",0,Python chat,23,интернет 800 мес статья год сидеть тема прикрыть маленький этот деньга мочь работать психологиска
128,и на новых данных нет гемора - когда в номинальную переменную прилетает новое значение,1,DS chat,14,новый данные гемор номинальный переменный прилетать новый значение
129,"Джизес крайст. Зачем тебе диба, если за то время, пока ты тут ее ищешь и тормозишь, мог бы написать функцию, которая удаляет из строки юникодное множество «кавычки». И почему тебе кажется, что скоро стандарт изменят и опять переписывать будешь?",0,Python chat,39,джизес краист ты диб время пока искать тормозить мочь написать функция который удалять строка юникодный множество кавычка почему ты казаться скоро стандарт изменить переписывать быть
130,"ну кто0то из ""своих! должне был быть в топе",1,DS chat,9,кто0тый свой должний топ
131,"Мне кажется, бигдата это когда у тебя постоянный поток данных, в котором ты захлебываешься",1,DS chat,14,казаться бигдата это постоянный поток данные который захлёбываться
132,"за это не уволняют, когда сто с тобой бухает вместе",0,Python chat,10,это уволнять сто тобои бухать вместе
133,Мне кажется только с bpe исчезло переобучение. Там 0.05% oov всего,1,DS chat,11,казаться bpe исчезнуть переобучение 0 05 oov
134,Посмотрел твой сабмит. \nSK_ID;CSI;CONTACT_DATE\n1973;0;13.05\n\nУ тебя должен быть 1 столбец с числами в диапазоне от [0;1] (вероятность),1,DS chat,16,посмотреть твой сабмить sk id csi contact date1973 0 13 05у должный 1 столбец число диапазон 0 1 вероятность
135,Openvpn скрипт есть на гите там пару к звёзд,0,Python chat,9,openvpn скрипт гит пара звезда
136,"не понимаю, чем этот костыль в инженерном смысле лучше постоянного открывания и закрывания базы в разных тредах. я ба предпочёл либу, которая, например, создаст отдельный тред, в который будет передавать всю обработку базы, ну или что-нибудь такое",0,Python chat,37,понимать костыль инженерный смысл постоянный открывание закрывание база разный тред ба предпочесть либ который например создать отдельный тред который передавать обработка база такой
